product_name,store_name,rating,comment_count,sold,average_price_per_sold
Máy đo nồng độ Oxi trong máu SpO2 Bảo hành chính hãng CONTEC,Unknown,0.0,0,0,0.0
"Bếp Từ Đơn TARAWA Hàng Nhật Bản Cao Cấp, Công Suất Lớn,Tích Hợp Nhiều Chế Độ, Màn Hình Cảm Ứng Siêu Nhạy BT04",CLEVER MART VN,5.0,143,597,618.0904522613065
vr Kính Ma Thuật Qianfanma Mới 3d Thực Tế Ảo Trò Chơi Điện Ảnh ar Kính Thông Minh Tất Cả Trong Một Cho Điện Thoại Di Động,Unknown,0.0,0,0,0.0
"Philips Hue Bridge V2 tách lẻ Kit - Không hộp, bảo hành 2 năm - Hàng Chính Hãng",Unknown,0.0,0,14,85000.0
"(Loại 1 bếp dày BH 3 năm )Bếp điện đơn 1000w . bếp từ hơ lá trầu cho bé 1000w(BẢO HÀNG 3 NĂM) , bếp nấu ăn đa năng tiện lợi cho nhà bếp,nấu lẫu ,canh,xào vv...",Unknown,0.0,0,400,249.715
Đồng hồ thông minh Samsung Galaxy Watch 46mm GPS/LTE (esim),Unknown,0.0,0,52,27884.615384615383
Bno080 AR VR IMU chín trục 9dof ahrs Mô-đun cảm biến 9 TRỤC độ chính xác cao gia tốc kế Con quay hồi chuyển từ kế thực tế ảo 3D mạch điện các bộ phận,ds4wegrshfdgr,0.0,0,0,0.0
"Kính VR Trò Chơi UGP, Thực Tế Ảo 3 D Ar 3 D Mắt Lập Thể V R Xử Lý Hộp Bạn Gái Trong Nhà",Unknown,,0,0,0.0
Máy Đo Oxy Xung Đầu Ngón Tay Di Động Máy Đo Độ Bão Hòa Oxy Trong Máu Spo2 Có Màn Hình Led Không Cần Pin Để Theo Dõi Y Tế,Unknown,0.0,0,20,1800.0
Bếp Từ Cảm Ứng SUNHOUSE thế hệ mới + tặng nồi,Unknown,0.0,0,35,9685.714285714286
"Philips Hue Philips 9 wát E27 Hue màu trắng và màu sắc tuyệt vời LED bóng đèn thông minh, Bluetooth & ZigBee tương thích (màu sắc cầu tùy chọn), làm việc với Alexa & Google Assistant",Top Mall - HK,0.0,0,0,0.0
(Hàng nội địa Đức) Máy đo nồng độ oxy trong máu SPO2 Jumper Pulse Oximeter JPD-500E,Unknown,0.0,0,49,5171.3877551020405
vr Kính Mắt 3d Hộp Ba Chiều Ăn Gà Điện Thoại Di Động Thực Tế Ảo Thông Minh ar Kính Apple Android Phổ Thông,Unknown,0.0,0,0,0.0
Máy đo oxy cầm tay mini cầm tay kỹ thuật số Đầu ngón tay xung Máy kiểm tra độ bão hòa oxy trong máu với màn hình Oled để giám sát y tế,Unknown,0.0,0,311,514.4694533762058
Đèn LED dây Philips Hue Lightstrip Base Pack 2 mét 16 triệu màu và Nguồn - Đồng bộ ánh sáng với PC (cần có Bridge) - Hàng Chính Hãng - Bảo Hành 2 Năm,Smart Homekit,4.9,20,84,22023.809523809523
(Duy nhất ngày 25-29.12)Bếp từ đơn Elmich ICE-9180,Unknown,0.0,0,0,0.0
LED dây thông minh 16 triệu màu Philips Hue Lightstrip Bluetooth bộ mở rộng 1m - đồng bộ ánh sáng theo nhạc và TV,VN33VZX8PG,0.0,0,0,0.0
"Máy đo nồng độ oxi trong máu, máy đo nhịp tim, sản phẩm chăm sóc sức khỏe quan trọng trong mùa dịch, máy kẹp ngón tay nhanh, gọn, chính xác, theo dõi nồng độ oxy trong máu",Unknown,0.0,0,17,8823.529411764706
[Wwud] new nreal air thông minh ar kính hd tư nhân khổng lồ máy tính di động màn hình chiếu xem kính râm âm nhạc trò chơi điện tử cầm tay,Gueisag1,0.0,0,0,0.0
Máy Đo Nồng Độ Oxy Trong Máu Và Nhịp Tim Alvital AT101B,Unknown,0.0,0,0,0.0
2023vr Kính Thực Tế Ảo Đeo Đầu 3D Máy Trò Chơi Somatosensory Phim ar4D Máy Chơi Game Tất Cả Trong Một,qiruobi,0.0,0,0,0.0
Dây LED 1 mét Philips Hue Lightstrip Base Pack với Bluetooth,HALULA,0.0,0,0,0.0
Ngshizandalacanyi 3D thông minh thực tế ảo toàn cảnh hộp phim Mũ bảo hiểm AR trò chơi Kính VR di động VR,ngshizandalacanyi,0.0,0,0,0.0
Bóng đèn thông minh Philips Hue White A19 - Điều chỉnh độ sáng hỗ trợ Alexa Google Assistant,Unknown,0.0,0,0,0.0
PENGAGAR Samsung Galaxy Watch 6 Đồng hồ thông minh theo dõi GPS dành cho nam giới có Amoled Luôn hiển thị nhịp tim và huyết áp,Global Merch Park,5.0,25,134,3343.283582089552
vr Kính Ma Thuật Qianfanma Mới 3d Thực Tế Ảo Trò Chơi Điện Ảnh ar Kính Thông Minh Tất Cả Trong Một Cho Điện Thoại Di Động,Unknown,0.0,0,0,0.0
"(LOẠI 1) Máy Đo Nhịp Tim, Đo Nồng Độ Oxy Trong Máu SP02, Chính Xác, Hiệu Quả, Màn Hình LED, Có Cảnh Báo - Dễ Sử Dụng - An Toàn",Unknown,0.0,0,178,331.46067415730334
【Special Offer】 Rokid Accessories Lens For Rokid Air Rokid Max Ar Smartglasses,Unknown,,0,0,0.0
Bếp từ cảm ứng Sunhouse CS 2200W [ BH - 1 NĂM] ==&gt; Tặng kèm nồi,Unknown,0.0,0,0,0.0
Bộ 3 Bóng Đèn Philips Hue White and Color Ambiance Starter Kit E27 Bluetooth | Đã bao gồm Bridge - Hàng Chính Hãng - Bảo hành 2 Năm,Smart Homekit,4.9,8,21,166190.47619047618
máy đo nồng độ oxy trong máu s.po2. máy theo giỏi oxy kẹt đầu ngón tay,Unknown,0.0,0,0,0.0
"Bếp Từ Cảm Ứng Sunhous [ BH - 1 NĂM] ==&gt; Cảm ứng nhạy, Nấu nhanh",Unknown,0.0,0,29,14310.344827586208
Đồng Hồ Thông Minh Samsung Galaxy Watch 6 Classic Bluetooth Call Hd Amoled Dành Cho Nam Và Nữ Có Nfc Gps Theo Dõi Sức Khỏe & Âm Nhạc Tương Tác,Unknown,0.0,0,0,0.0
Bếp từ đơn cảm ứng Sunhouse SHD6011,Unknown,0.0,0,60,4983.333333333333
Hot Vr Glasses Giant Screen Cinema Game Machine Virtual Reality Helmet 3D Three-Dimensional Helmet Ar Glasses Portable,Unknown,0.0,0,0,0.0
（Vật phẩm đeo KK） Học sinh thực tế ảo Kính VR chơi trò chơi RV Kính 4D Mũ bảo hiểm AR điện thoại Android điện thoại thông minh 3D,yudanye771749,0.0,0,0,0.0
"Cho xreal không khí thông minh AR phụ kiện kính miếng đệm phần mũi, kính mắt mui xe, Cáp dữ liệu 1.2m, gọng kính cận thị",Unknown,,0,12,22271.83333333333
Đồng hồ thông minh Samsung 6 Galaxy Bluetooth Quay số cuộc gọi Theo dõi sức khỏe thể thao với nhịp tim & huyết áp cho nam và nữ,Unknown,0.0,0,22,8500.0
Bộ 3 Bóng Đèn Philips Hue White and Color Ambiance Starter Kit E27 Bluetooth | Đã bao gồm Bridge - Hàng Chính Hãng - Bảo hành 2 Năm,Unknown,0.0,0,21,166190.47619047618
【Hàng có sẵn】 AR VR Imu Bno080 Bno085 Ahrs Mô-đun cảm biến phát triển thực tế ảo,Electr stores,0.0,0,0,0.0
Máy đo nồng độ oxy trong máu SpO2 Jumper JPD - 500D màn hình OLED - Bảo hành 24 tháng,Unknown,0.0,0,0,0.0
AR VR IMU bno080 bno085 ahrs Mô-đun cảm biến cho phát triển thực tế ảo,Unknown,0.0,0,0,0.0
"Bóng đèn thông minh Philips Hue White Ambiance E27 8.5W phiên bản có Bluetooth, ánh sáng trắng sang vàng",VN33VZX8PG,,0,0,0.0
