product_name,store_name,rating,comment_count,price,sold,link
"[HCM]Thẻ nhớ 64gb, Thẻ nhớ camera YOOSEE MicroSDHC 64G Class 10 chuyên dụng cho Camera",Không tìm thấy cửa hàng,0,Không có đánh giá,"₫84,800",594 sold,https://www.lazada.vn/products/hcmthe-nho-64gb-the-nho-camera-yoosee-microsdhc-64g-class-10-chuyen-dung-cho-camera-i2669047404.html
"[HCM]Thẻ nhớ 32gb, Thẻ nhớ camera YOOSEE MicroSDHC 32G Class 10 chuyên dụng cho Camera",Không tìm thấy cửa hàng,0,Không có đánh giá,"₫66,000",3.8K sold,https://www.lazada.vn/products/hcmthe-nho-32gb-the-nho-camera-yoosee-microsdhc-32g-class-10-chuyen-dung-cho-camera-i538700590.html
Thẻ nhớ TF 16GB 32GB 64GB 128GB 256GB 512GB 1TB điện thoại Android máy tính bảng Camera giám sát tốc độ cao 100m thẻ SD Máy ghi âm lái xe THẺ FLASH phổ Micro SD SDXC Thẻ,Không tìm thấy cửa hàng,0,Không có đánh giá,"₫49,000",561 sold,https://www.lazada.vn/products/the-nho-tf-16gb-32gb-64gb-128gb-256gb-512gb-1tb-dien-thoai-android-may-tinh-bang-camera-giam-sat-toc-do-cao-100m-the-sd-may-ghi-am-lai-xe-the-flash-pho-micro-sd-sdxc-the-i2333723138.html
Thẻ Nhớ Kioxia 32GB và Thẻ Nhớ Sandisk (64GB/128GB/256GB) Chính Hãng - EZVIZ Hoang Nguyen Authorized Store,EZVIZ VN Authorized Store,5.0,750 đánh giá,"₫159,000",2.8K sold,https://www.lazada.vn/products/the-nho-kioxia-32gb-va-the-nho-sandisk-64gb128gb256gb-chinh-hang-ezviz-hoang-nguyen-authorized-store-i1428010198.html
"Thẻ Nhớ 32 gb ( Thẻ nhớ dành chuyên cho camera, máy chụp ảnh, quay phim, loa,....)",Không tìm thấy cửa hàng,0,Không có đánh giá,"₫25,000",96 sold,https://www.lazada.vn/products/the-nho-32-gb-the-nho-danh-chuyen-cho-camera-may-chup-anh-quay-phim-loa-i2239681666.html
Xiaomi Mini SD Memory Card 16GB 32GB 64GB TF Card 512GB/128GB/1TB class10 SD Memory Card for Smartphone Computers,Không tìm thấy cửa hàng,0,Không có đánh giá,"₫51,000",1.5K sold,https://www.lazada.vn/products/xiaomi-mini-sd-memory-card-16gb-32gb-64gb-tf-card-512gb128gb1tb-class10-sd-memory-card-for-smartphone-computers-i2552454042.html
Thẻ Nhớ Micro SD 8GB,Không tìm thấy cửa hàng,0,Không có đánh giá,"₫30,779",4.1K sold,https://www.lazada.vn/products/the-nho-micro-sd-8gb-i262318973.html
"Thẻ nhớ 64GB 32GB YOOSEE Class 10, Thẻ nhớ Yoosee camera IP wifi, Điện thoại, loa đài - Bảo hành 5 năm 1 đổi 1",Không tìm thấy cửa hàng,0,Không có đánh giá,"₫67,500",151 sold,https://www.lazada.vn/products/the-nho-64gb-32gb-yoosee-class-10-the-nho-yoosee-camera-ip-wifi-dien-thoai-loa-dai-bao-hanh-5-nam-1-doi-1-i2249602421.html
"Samsung Micro SD 32GB C10 64GB memory TF memory card MicroSD 128GB 256GB 512GB for cameras, drones, mobile phones, and computers",Không tìm thấy cửa hàng,0,Không có đánh giá,"₫41,000",983 sold,https://www.lazada.vn/products/samsung-micro-sd-32gb-c10-64gb-memory-tf-memory-card-microsd-128gb-256gb-512gb-for-cameras-drones-mobile-phones-and-computers-i2530752443.html
♥COD + Thẻ Nhớ Micro SD TOSHIBA Chính Hãng Chính Hãng 100% Thẻ TF 128GB UHS-I Thẻ Nhớ Flash MicroSDXC U3 128GB Micro SDHC128GB Class10 M303,sbiqdn store,4.6,1016 đánh giá,"₫32,000",4.7K sold,https://www.lazada.vn/products/cod-the-nho-micro-sd-toshiba-chinh-hang-chinh-hang-100-the-tf-128gb-uhs-i-the-nho-flash-microsdxc-u3-128gb-micro-sdhc128gb-class10-m303-i1115472142.html
